ZipCode,City,County,State,CountyFIPS,StateFIPS,TimeZone,DayLightSavings,ZipLatitude,ZipLongitude
10174,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.751900,-73.977800
10175,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.756400,-73.982700
10176,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.752500,-73.979200
10177,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.755207,-73.976082
10178,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.747900,-73.979300
10179,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10185,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10199,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.742700,-73.993400
10203,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10211,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10212,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10213,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10242,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.741700,-73.993500
10249,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.740700,-73.994900
10256,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10258,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10259,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10260,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10261,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10265,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10268,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10269,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10270,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.705300,-74.006800
10271,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.708678,-74.010418
10272,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10273,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10274,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10275,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10276,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10277,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10278,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.715642,-74.004128
10279,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.713061,-74.008557
10280,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.709822,-74.017661
10281,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.705800,-74.018600
10282,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.716626,-74.014494
10285,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
10286,NEW YORK,NEW YORK,NY,061,36,-5,Y,40.714300,-74.006700
